spirit_name,spirit_price,spirit_stock,spirit_category,Img,Date
Johnnie Walker Blue Label 750ml,1398.0,3,whisky,https://cellarmasterwines.com/cdn/shop/products/JWBlueLabel_533x.jpg?v=1667803252,2024-08-18
Johnnie Walker Blue Label Year of the Wood Dragon 2024 Limited Edition Blended Scotch Whisky,1698.0,11,whisky,https://cellarmasterwines.com/cdn/shop/files/820A1005-E761-4767-A67F-1395FD49CCD6_533x.jpg?v=1704367346,2024-08-18
Lagavulin 16 Years Single Malt Scotch Whisky 700ml,988.0,0,whisky,https://cellarmasterwines.com/cdn/shop/products/lagavulin-16-years_533x.webp?v=1670298108,2024-08-18
Laphraoig 10 Year Old Single Scotch Whisky 700ml,588.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Laphroaig_533x.png?v=1670576569,2024-08-18
Monkey Shoulder Blended Malt Scotch Whisky 1L,399.0,12,whisky,https://cellarmasterwines.com/cdn/shop/products/Monkey-Shoulder-Malt-Whisky-1000ml-2_533x.jpg?v=1678085330,2024-08-18
Mortlach 12 Year Old Single Malt Whisky 750ml,598.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/image_c313545f-1b7c-47fb-aea0-067d482b7c90_533x.jpg?v=1670384374,2024-08-18
Mortlach 16 Year Old Single Malt Whisky 750ml,1188.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/MOrtlach_533x.png?v=1622731315,2024-08-18
Oban 14 Years Single Malt Whisky 700ml,698.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/obnob_14yov2__47738_jpg_533x.webp?v=1670243838,2024-08-18
Onikishi Demon Knight Blended Whisky 700ml,418.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Onikishijapwhisky_533x.jpg?v=1615882172,2024-08-18
Suntory Toki Whisky 700ml,398.0,6,whisky,https://cellarmasterwines.com/cdn/shop/products/suntorytoki_533x.jpg?v=1673361353,2024-08-18
Taisteal Explorer Blended Scotch Whisky 700ml,198.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/NewTaistealBlend1_533x.png?v=1596786104,2024-08-18
Taisteal Explorer Single Grain Scotch Whisky 700ml,318.0,2,whisky,https://cellarmasterwines.com/cdn/shop/files/Taisteal-Single-Grain-Scotch-Whisky-700mL-600x600-1_533x.jpg?v=1701851436,2024-08-18
